height;year
26.65155362;1
26.74200069;1
26.78865487;1
31.7328731;1
35.65004478;1
27.08024297;1
22.63197714;1
24.63078935;1
22.49535259;1
19.66269652;1
28.08724351;1
35.82978121;1
46.25857983;1
36.75877823;1
43.23956353;2
53.31966471;2
46.32603905;2
56.94341792;2
46.63589665;2
53.34464951;2
45.69718994;2
53.54870069;2
60.13478459;2
51.28558196;2
64.15285982;2
39.36138342;2
54.61137294;2
46.48368899;2
76.60973368;3
75.35995485;3
84.7168726;3
85.23185698;3
88.0901254;3
64.46491919;3
73.25929488;3
82.28167745;3
85.47382725;3
83.75386304;3
83.89913699;3
78.9710807;3
84.41945176;3
81.98845462;3
111.6501072;4
108.294288;4
107.7987793;4
111.2164376;4
104.8650711;4
102.3724449;4
104.0506444;4
107.5273773;4
116.9527499;4
106.195753;4
108.1226103;4
113.8100861;4
107.0838732;4
117.786711;4
131.4141264;5
138.4761662;5
135.6704884;5
130.7624989;5
142.729762;5
118.3757364;5
130.0218163;5
135.27744;5
129.4936332;5
137.4223998;5
134.17201;5
139.7393317;5
146.4120974;5
128.5467258;5
162.7453079;6
159.0101839;6
153.2344914;6
156.1094146;6
176.9370491;6
144.5846285;6
150.4790741;6
156.0307705;6
159.5708707;6
163.7000137;6
160.3831107;6
169.5848108;6
158.3506049;6
154.5276984;6
32.27618255;1
25.51428757;1
28.43126597;1
21.39977696;1
17.43884829;1
24.13365279;1
25.06034885;1
22.76749845;1
30.55476621;1
16.63619856;1
29.34029113;1
35.64312786;1
27.63002824;1
23.96899404;1
37.76638016;2
56.02621639;2
54.90762582;2
48.62502336;2
47.78792532;2
51.18150385;2
46.37429408;2
52.26606056;2
42.34853101;2
58.26914616;2
47.91141681;2
45.80783639;2
52.45058669;2
50.97061211;2
84.09672831;3
73.48863828;3
88.09408418;3
75.20386614;3
70.13532773;3
87.30599075;3
82.89500599;3
79.08878076;3
90.27094566;3
87.67468464;3
77.17504715;3
79.9983328;3
86.25769816;3
79.12509553;3
105.0231124;4
120.6252913;4
113.8234598;4
106.7234116;4
102.3875368;4
112.5912045;4
118.8562708;4
95.29183298;4
99.24664184;4
120.9743077;4
100.7831561;4
108.018194;4
104.6743893;4
113.0656069;4
134.1350181;5
132.8225121;5
117.9365471;5
131.4620189;5
125.1695472;5
135.5055854;5
130.9218569;5
135.2470705;5
139.3892698;5
135.8062436;5
134.0006308;5
122.5667342;5
133.4652389;5
137.2187059;5
153.5877642;6
154.1396938;6
164.8892655;6
158.4461818;6
158.8980826;6
145.0262135;6
180.4653323;6
165.2455214;6
157.4426107;6
154.7685676;6
160.7824357;6
160.4154184;6
165.8015303;6
146.7830715;6
30.21442885;1
37.87107841;1
36.74885851;1
36.50210718;1
17.06712029;1
24.02773652;1
29.85178415;1
26.05134012;1
26.81692296;1
8.802377838;1
36.57014217;1
34.23932159;1
32.86967353;1
36.10344268;1
53.81874637;2
56.98186847;2
52.22689362;2
58.85737926;2
48.259193;2
57.50928292;2
57.01004771;2
51.52209056;2
49.75934993;2
49.43011732;2
53.55968564;2
55.79529757;2
51.29506133;2
54.10039903;2
64.96995886;3
85.35226899;3
72.32778495;3
85.97801191;3
76.20369279;3
80.14631886;3
86.89325865;3
86.41931394;3
70.93383859;3
67.16589935;3
79.55258056;3
88.93497787;3
68.58641058;3
95.63914346;3
102.6041823;4
104.2853588;4
112.6499725;4
102.5954937;4
107.468752;4
111.6953253;4
109.0579104;4
113.5229804;4
104.1987979;4
113.4407206;4
116.0730309;4
101.1052185;4
106.1761569;4
104.2669354;4
132.4629288;5
123.5737435;5
125.7029199;5
128.7713486;5
136.2571499;5
129.4432766;5
134.666193;5
132.5493468;5
124.0255286;5
147.8064918;5
130.838122;5
138.5759021;5
142.5506361;5
142.6509741;5
155.275033;6
167.63805;6
169.5007444;6
153.5761079;6
174.7760835;6
155.5955669;6
165.6067537;6
145.3832168;6
156.3799523;6
156.8942854;6
158.0611198;6
162.1066707;6
157.1343932;6
-151.5;6
