height;year;suntime;treatment
20.30582785;1;3.34;1
37.56958201;1;4.65;1
22.05512522;1;5.28;1
14.01628708;1;3.57;1
31.41060155;1;3.08;1
15.20637888;1;4.69;1
18.31302517;1;4.23;1
29.59751093;1;4.98;1
37.22154684;1;5.38;1
25.22945387;1;3.1;1
25.99069668;1;3.54;1
19.03897511;1;4.12;1
29.05135216;1;3.66;1
29.46462377;1;4.31;1
42.12227731;2;3.51;1
46.04611052;2;3.35;1
65.92429094;2;3.85;1
69.25274434;2;5.2;1
52.50464872;2;4.3;1
58.53638811;2;5.07;1
63.30602867;2;5.2;1
56.97021701;2;4.75;1
36.56997006;2;3.37;1
44.06988008;2;3.41;1
51.40366178;2;3.18;1
58.12017856;2;4.1;1
48.22629713;2;3.98;1
70.06468909;2;5.41;1
62.93860916;3;3.18;1
104.885804;3;5.38;1
75.66607495;3;4;1
72.67278703;3;2.96;1
68.88563222;3;3.54;1
64.59547217;3;2.88;1
44.34928097;3;2.84;1
95.26903046;3;4.12;1
84.04776954;3;4.41;1
94.88098681;3;4.41;1
72.77945464;3;3.87;1
71.70991341;3;3.87;1
90.98616392;3;5;1
69.73416952;3;3.44;1
122.0653346;4;5.03;1
104.8610854;4;4.24;1
116.9723837;4;5.31;1
110.0426861;4;4.28;1
110.3899249;4;4.85;1
73.89813401;4;2.99;1
120.3739004;4;4.94;1
115.3051218;4;4.51;1
112.1911724;4;3.84;1
102.3330421;4;4.33;1
133.137056;4;5.29;1
125.1188125;4;5.44;1
142.5193533;4;5.32;1
96.23649519;4;3.83;1
124.0684935;5;3.49;1
125.7527835;5;3.5;1
106.4813099;5;3.33;1
109.797837;5;3.17;1
139.3753926;5;4.49;1
111.2698684;5;3.27;1
160.2879033;5;5.14;1
154.2257442;5;5.47;1
166.9165084;5;5.46;1
159.186809;5;5.21;1
152.7930983;5;5.2;1
116.1377557;5;3.23;1
157.5928231;5;5.31;1
162.1307155;5;5.03;1
189.194221;6;5.04;1
176.0725165;6;4.74;1
130.9543625;6;3.22;1
189.0016401;6;5.06;1
125.1891513;6;2.86;1
187.8147611;6;5.28;1
134.0705378;6;2.91;1
168.8436894;6;4.69;1
157.8947884;6;4;1
149.6131026;6;3.65;1
195.6064025;6;5.34;1
189.6376609;6;5.02;1
136.8433606;6;3.37;1
136.0790717;6;3.05;1
38.04411156;1;4.07;2
28.92618532;1;2.94;2
39.15719529;1;5.42;2
29.92561527;1;4.91;2
33.54252731;1;3.68;2
28.19745591;1;4.45;2
31.39966189;1;4.73;2
37.85063779;1;3.71;2
29.56539344;1;3.31;2
32.8668052;1;3.87;2
29.23666836;1;3.67;2
33.38798179;1;5;2
40.88894629;1;3.43;2
28.76183674;1;4.49;2
48.03186815;2;4.08;2
57.83146239;2;4.03;2
57.33470698;2;5.31;2
61.65050746;2;4.75;2
55.31534747;2;4.35;2
45.2334652;2;5.29;2
65.29671708;2;5.09;2
64.16876687;2;3.88;2
50.52980164;2;3.55;2
55.81379468;2;4.2;2
54.96056278;2;4.03;2
68.65801839;2;3.65;2
61.84109884;2;3.28;2
54.88023025;2;4.19;2
97.24195838;3;4.89;2
90.51704711;3;3.6;2
90.13552176;3;4.03;2
84.96417912;3;3.86;2
